ID,PlotId,SubplotId,TreeId,FieldLandUse,DirectionfromCenter,DistancefromCenter,TreeStatus,Species,HeighttoCrownBase,TreeHeightLiveTop,TreeHeightTotal,CrownWidth1,CrownWidth2,CrownLightExposure,CrownPosition,PercentCrownMissing,Transparency,CrownDensity,CrownDieback,PercentImperviousBelow,PercentShrubBelow,TreeSite
1,1,1,1,T,-1,-1,P,MACLASS,2.299999952,6,6,3.599999905,3.599999905,5,-1,13,-1,-1,3,83,0,S
2,1,1,2,T,-1,-1,P,CEJA,1.399999976,6,6,2.700000048,2.700000048,4,-1,18,-1,-1,3,0,0,N
3,1,1,3,T,-1,-1,P,FRGR1,2.799999952,5.5,5.5,3.5,3.5,3,-1,18,-1,-1,3,0,0,N
4,1,1,4,T,-1,-1,P,FRGR1,1.799999952,4,4,3.200000048,3,3,-1,8,-1,-1,3,0,0,N
5,1,1,5,T,-1,-1,P,FRGR1,1.299999952,5,5,3.5,3.5,3,-1,28,-1,-1,3,0,28,N
6,1,1,6,T,-1,-1,P,QUMY1,1.5,6,6,3.5,3.5,4,-1,18,-1,-1,3,0,28,N
7,1,1,7,T,-1,-1,P,STJA,1.299999952,2.299999952,2.299999952,2.5,2.299999952,2,-1,8,-1,-1,3,0,68,N
8,1,1,8,T,-1,-1,P,FRGR1,0.600000024,5,5,3.099999905,3.099999905,4,-1,13,-1,-1,3,0,33,N
9,3,1,1,S,-1,-1,I,CICA,2,10,10,5.400000095,6,4,-1,38,-1,-1,3,0,0,N
10,3,1,2,S,-1,-1,P,CHOB,1.5,5,5,3,2,2,-1,68,-1,-1,3,48,0,N
11,3,1,3,S,-1,-1,P,CHOB,1.799999952,7.5,7.5,3,2.5,2,-1,48,-1,-1,3,48,0,N
12,3,1,4,S,-1,-1,P,CHOB,4.800000191,6.5,6.5,1.600000024,1.799999952,1,-1,28,-1,-1,3,0,0,N
13,3,1,5,S,-1,-1,P,CHOB,3,7.5,7.5,3,3,1,-1,48,-1,-1,3,0,0,N
14,3,1,6,S,-1,-1,P,CHOB,5.300000191,6.800000191,6.800000191,1.600000024,1.600000024,1,-1,28,-1,-1,3,0,0,N
15,3,1,7,S,-1,-1,P,LIJA,2,5.099999905,5.099999905,4,6,2,-1,48,-1,-1,3,28,0,N
16,3,1,8,S,-1,-1,P,CAJA9,1,6.800000191,6.800000191,3.599999905,3,1,-1,38,-1,-1,3,0,38,N
17,3,1,9,S,-1,-1,P,CAJA9,3,7.199999809,7.199999809,4.800000191,4.5,1,-1,28,-1,-1,3,0,18,N
18,3,1,10,S,-1,-1,P,CAJA9,2.200000048,3.5,3.5,3.200000048,1.799999952,0,-1,58,-1,-1,3,0,0,N
19,3,1,11,S,-1,-1,P,CHOB,5,7,7,1.600000024,1.600000024,1,-1,28,-1,-1,3,28,0,N
20,3,1,12,S,-1,-1,P,CHOB,5.5,7,7,1.600000024,1.600000024,1,-1,23,-1,-1,3,0,0,N
21,3,1,13,S,-1,-1,P,CAJA9,1.200000048,4,4,3.599999905,4,0,-1,23,-1,-1,3,0,3,N
22,3,1,14,S,-1,-1,P,CICA,4.5,9,9,5,6,5,-1,28,-1,-1,3,18,3,N
23,3,1,15,S,-1,-1,P,CASA,0.5,4.5,4.5,2,2,0,-1,23,-1,-1,3,0,0,N
24,3,1,16,S,-1,-1,P,CASA,1.299999952,2,2,1,1.200000048,0,-1,43,-1,-1,3,0,0,N
25,3,1,17,S,-1,-1,P,CICA,2,6.5,6.5,5,4.5,2,-1,38,-1,-1,3,8,3,N
26,3,1,18,S,-1,-1,P,CRJA,0.800000012,4.5,4.5,1.200000048,1.200000048,1,-1,33,-1,-1,3,0,0,N
27,3,1,19,S,-1,-1,P,PIJA,2.099999905,3.299999952,3.299999952,1.200000048,1.5,4,-1,18,-1,-1,3,0,0,N
28,3,1,20,S,-1,-1,P,CAJA9,0.200000003,2.200000048,2.200000048,1,1,2,-1,18,-1,-1,3,0,0,N
29,3,1,21,S,-1,-1,P,LIJA,1.5,2.299999952,2.299999952,1,1.5,4,-1,23,-1,-1,3,0,0,N
30,3,1,22,S,-1,-1,P,LIJA,1.799999952,2.5,2.5,0.5,0.699999988,1,-1,43,-1,-1,3,0,0,N
31,3,1,23,S,-1,-1,P,CHOB,1.100000024,3.5,3.5,1.5,1.200000048,2,-1,68,-1,-1,3,0,0,N
32,3,1,24,S,-1,-1,P,CAJA9,1,2.5,2.5,0.699999988,0.5,1,-1,28,-1,-1,3,0,0,N
33,3,1,25,S,-1,-1,P,OSHE,1.5,2.799999952,2.799999952,3,3,1,-1,28,-1,-1,3,0,23,N
34,3,1,26,S,-1,-1,P,ILAT,1.100000024,6.5,6.5,2.5,2,1,-1,68,-1,-1,3,0,0,N
35,3,1,27,S,-1,-1,P,LIJA,1,2.299999952,2.299999952,1.5,1.200000048,4,-1,28,-1,-1,3,0,0,N
36,3,1,28,S,-1,-1,P,CHOB,0.5,6,6,1.299999952,1.299999952,3,-1,23,-1,-1,3,0,0,N
37,3,1,29,S,-1,-1,P,CHOB,3,5,5,1,1.200000048,1,-1,28,-1,-1,3,0,0,N
38,3,1,30,S,-1,-1,P,CASA,0.300000012,2.799999952,2.799999952,1,1.200000048,1,-1,43,-1,-1,3,0,0,N
39,3,1,31,S,-1,-1,P,OSFR,0.300000012,2.799999952,2.799999952,1.200000048,1.200000048,3,-1,3,-1,-1,3,0,0,N
40,5,1,1,M,-1,-1,P,CAJA9,0.300000012,2.299999952,2.299999952,0.699999988,0.699999988,4,-1,3,-1,-1,3,0,100,N
41,5,1,2,M,-1,-1,P,CAJA9,0.300000012,2.200000048,2.200000048,0.699999988,0.699999988,5,-1,3,-1,-1,3,0,100,N
42,5,1,3,M,-1,-1,P,ZESE,1.299999952,2.400000095,2.400000095,1.200000048,1.200000048,4,-1,8,-1,-1,3,8,88,N
43,5,1,4,M,-1,-1,P,DE9,1.700000048,2.900000095,2.900000095,1.200000048,0.600000024,3,-1,13,-1,-1,3,0,100,N
44,5,1,5,M,-1,-1,P,CASA,0.300000012,2.400000095,2.400000095,0.800000012,0.600000024,4,-1,18,-1,-1,3,0,100,N
45,5,1,6,M,-1,-1,P,DE9,1.200000048,2.799999952,2.799999952,1.200000048,0.699999988,3,-1,28,-1,-1,3,3,100,N
46,6,1,1,T,-1,-1,P,ZESE,5,11.80000019,11.80000019,7,7.199999809,5,-1,3,-1,-1,3,63,23,S
47,6,1,2,T,-1,-1,P,GIBI,3.5,8.199999809,8.199999809,5.400000095,5.400000095,5,-1,3,-1,-1,3,58,18,S
48,6,1,3,M,-1,-1,P,GIBI,2.299999952,8,8,5.400000095,5.400000095,5,-1,18,-1,-1,3,58,18,S
49,6,1,4,R,-1,-1,P,QUAL2,1.5,2.5,2.5,1.200000048,1.200000048,5,-1,13,-1,-1,3,0,18,N
50,6,1,5,T,-1,-1,P,ZESE,1.700000048,4.199999809,4.199999809,3,3,5,-1,3,-1,-1,3,58,3,N
51,7,1,1,R,-1,-1,P,ZESE,1.799999952,7,7,3.5,3.5,3,-1,23,-1,-1,3,0,0,N
52,7,1,2,R,-1,-1,P,OSFR,1,3,3,1.5,1,2,-1,3,-1,-1,3,0,0,N
53,7,1,3,R,-1,-1,P,EUJAAM,1.299999952,3,3,1,1.200000048,1,-1,8,-1,-1,3,0,0,N
54,7,1,4,R,-1,-1,P,SYRE,3,5.800000191,5.800000191,2.5,2.799999952,3,-1,18,-1,-1,3,0,0,N
55,7,1,5,R,-1,-1,P,SASE2,1.200000048,2.299999952,2.299999952,1.299999952,1.299999952,3,-1,23,-1,-1,3,100,28,N
56,7,1,6,R,-1,-1,P,PHHE8,1.600000024,2,2,0.800000012,0.800000012,3,-1,48,-1,-1,3,100,58,N
57,7,1,7,R,-1,-1,P,ALJU,1.799999952,2.200000048,2.200000048,0.600000024,0.600000024,3,-1,28,-1,-1,3,100,48,N
58,7,1,8,R,-1,-1,P,DUER,1.299999952,2.299999952,2.299999952,1,1,4,-1,13,-1,-1,3,100,48,N
59,8,1,1,R,-1,-1,P,NADO,1.5,2,2,1.799999952,0.699999988,5,-1,38,-1,-1,3,0,0,N
60,8,1,2,R,-1,-1,P,NADO,1.5,2,2,0.5,0.5,3,-1,48,-1,-1,3,0,0,N
61,8,1,3,R,-1,-1,P,NADO,1.700000048,2.299999952,2.299999952,0.300000012,0.899999976,3,-1,48,-1,-1,3,28,0,N
62,8,1,4,R,-1,-1,P,CESI4,0.200000003,2.700000048,2.700000048,1.799999952,0.699999988,2,-1,63,-1,-1,3,100,0,N
63,8,1,5,R,-1,-1,P,LAIN,4,14,14,5,6.800000191,4,-1,48,-1,-1,3,28,0,N
64,8,1,6,R,-1,-1,P,LAIN,3,13,13,4.800000191,5.400000095,4,-1,38,-1,-1,3,28,0,N
65,8,1,7,R,-1,-1,P,TRFO,3,4,4,2.400000095,2.400000095,1,-1,28,-1,-1,3,0,0,N
66,8,1,8,R,-1,-1,P,TRFO,3,4.5,4.5,2.400000095,2.400000095,2,-1,18,-1,-1,3,0,0,N
67,8,1,9,R,-1,-1,P,OSFR,0.100000001,4.300000191,4.300000191,3,3,3,-1,28,-1,-1,3,28,0,N
68,8,1,10,R,-1,-1,P,OSFR,0.100000001,2,2,1.200000048,1.200000048,1,-1,18,-1,-1,3,0,0,N
69,8,1,11,R,-1,-1,P,NADO,1.5,2,2,0.600000024,0.600000024,0,-1,58,-1,-1,3,0,0,N
70,8,1,12,R,-1,-1,P,GIBI,2,6.300000191,6.300000191,3,3,5,-1,28,-1,-1,3,48,3,N
71,8,1,13,R,-1,-1,P,NADO,1.299999952,2,2,0.300000012,0.300000012,1,-1,58,-1,-1,3,0,0,N
72,8,1,14,R,-1,-1,P,NADO,1.399999976,2,2,0.300000012,0.300000012,1,-1,58,-1,-1,3,48,28,N
73,8,1,15,R,-1,-1,P,NADO,1.399999976,2,2,0.300000012,0.300000012,1,-1,68,-1,-1,3,0,48,N
74,8,1,16,R,-1,-1,P,NADO,1.799999952,2.200000048,2.200000048,0.200000003,0.200000003,1,-1,28,-1,-1,3,68,0,N
75,8,1,17,R,-1,-1,P,NADO,1.799999952,2.200000048,2.200000048,0.200000003,0.200000003,1,-1,28,-1,-1,3,48,0,N
76,8,1,18,R,-1,-1,P,NADO,1.799999952,2.200000048,2.200000048,0.200000003,0.200000003,1,-1,28,-1,-1,3,0,0,N
77,8,1,19,R,-1,-1,P,NADO,1.799999952,2.200000048,2.200000048,0.200000003,0.200000003,1,-1,28,-1,-1,3,0,0,N
78,8,1,20,R,-1,-1,P,NADO,1.799999952,2.200000048,2.200000048,0.200000003,0.200000003,1,-1,28,-1,-1,3,0,0,N
79,8,1,21,R,-1,-1,P,NADO,1.799999952,2.200000048,2.200000048,0.200000003,0.200000003,1,-1,28,-1,-1,3,0,0,N
80,8,1,22,R,-1,-1,P,NADO,1.799999952,2.200000048,2.200000048,0.200000003,0.200000003,1,-1,28,-1,-1,3,0,0,N
81,8,1,23,R,-1,-1,P,NADO,1.799999952,2.200000048,2.200000048,0.200000003,0.200000003,1,-1,28,-1,-1,3,0,0,N
82,8,1,24,R,-1,-1,P,NADO,1.799999952,2.200000048,2.200000048,0.200000003,0.200000003,1,-1,28,-1,-1,3,0,0,N
83,8,1,25,R,-1,-1,P,NADO,1.799999952,2.200000048,2.200000048,0.200000003,0.200000003,1,-1,28,-1,-1,3,0,0,N
84,8,1,26,R,-1,-1,P,NADO,1.799999952,2.200000048,2.200000048,0.200000003,0.200000003,1,-1,28,-1,-1,3,0,0,N
85,8,1,27,R,-1,-1,P,NADO,1.799999952,2.200000048,2.200000048,0.200000003,0.200000003,1,-1,28,-1,-1,3,8,0,N
86,8,1,28,R,-1,-1,P,NADO,1.799999952,2.200000048,2.200000048,0.200000003,0.200000003,1,-1,28,-1,-1,3,78,0,N
87,8,1,29,R,-1,-1,P,HYSP,0.300000012,2,2,1.200000048,1,1,-1,28,-1,-1,3,8,0,N
88,9,1,1,W,-1,-1,I,MA17,0.899999976,2,2,1.5,1.5,4,-1,8,-1,-1,3,0,0,N
89,9,1,2,N,-1,-1,P,OLEU,0.300000012,2.099999905,2.099999905,1.5,1.399999976,5,-1,8,-1,-1,3,3,0,N
90,9,1,3,R,-1,-1,P,JUCH,2,3.799999952,3.799999952,2,1.700000048,3,-1,18,-1,-1,3,38,38,N
91,9,1,4,R,-1,-1,P,JUCH,2,3.799999952,3.799999952,2,2,3,-1,8,-1,-1,3,38,38,N
92,9,1,5,R,-1,-1,P,JUCH,2,3,3,0.699999988,0.699999988,3,-1,23,-1,-1,3,0,100,N
93,9,1,6,R,-1,-1,P,RHSP1,2.299999952,3,3,0.5,1.700000048,3,-1,58,-1,-1,3,38,38,N
94,9,1,7,R,-1,-1,P,NADO,1.700000048,3,3,1.5,1.5,4,-1,23,-1,-1,3,0,28,N
95,9,1,8,R,-1,-1,P,FICA,1.100000024,2,2,1.399999976,1.399999976,3,-1,13,-1,-1,3,0,0,N
96,9,1,9,R,-1,-1,P,ZESE,1.700000048,2.200000048,2.200000048,1.5,1,3,-1,28,-1,-1,3,0,0,N
97,9,1,10,R,-1,-1,P,PRMU2,1.799999952,3.799999952,3.799999952,1.700000048,1.700000048,4,-1,23,-1,-1,3,0,0,N
98,9,1,11,R,-1,-1,P,NADO,1.799999952,2.299999952,2.299999952,0.699999988,0.699999988,3,-1,13,-1,-1,3,0,0,N
99,9,1,12,R,-1,-1,P,NADO,1.799999952,3,3,1.200000048,1.200000048,4,-1,13,-1,-1,3,0,0,N
100,9,1,13,R,-1,-1,P,DIKA,1.700000048,2.900000095,2.900000095,2,2,2,-1,18,-1,-1,3,0,0,N
101,9,1,14,R,-1,-1,P,MYCO,1.799999952,2.900000095,2.900000095,0.600000024,0.600000024,3,-1,28,-1,-1,3,0,0,N
102,9,1,15,R,-1,-1,P,SPTH2,2,3.400000095,3.400000095,1,1,3,-1,28,-1,-1,3,0,0,N
103,9,1,16,T,-1,-1,P,ACBU,2.700000048,7.300000191,7.300000191,4.199999809,3.5,5,-1,18,-1,-1,3,68,0,S
104,9,1,17,T,-1,-1,P,ACBU,3,8.5,8.5,4.800000191,3.5,5,-1,18,-1,-1,3,68,0,S
105,10,1,1,M,-1,-1,P,STJA,1.700000048,3.5,3.5,1.5,1.5,4,-1,13,-1,-1,3,0,0,N
106,10,1,2,M,-1,-1,P,STJA,1.700000048,3,3,0.699999988,0.699999988,3,-1,38,-1,-1,3,0,0,N
107,10,1,3,M,-1,-1,P,NADO,1,2.200000048,2.200000048,0.800000012,0.899999976,3,-1,28,-1,-1,3,0,0,N
108,10,1,4,M,-1,-1,P,DE9,1.799999952,3.200000048,3.200000048,1.399999976,1.399999976,3,-1,18,-1,-1,3,0,0,N
109,10,1,5,M,-1,-1,P,OSHE,1,2.5,2.5,0.800000012,0.800000012,2,-1,18,-1,-1,3,0,0,N
110,10,1,6,M,-1,-1,P,EUJAAM,1.5,3.299999952,3.299999952,1,1.100000024,3,-1,13,-1,-1,3,0,0,N
111,10,1,7,M,-1,-1,P,EUJAAM,1.5,3.299999952,3.299999952,1,1,2,-1,8,-1,-1,3,0,0,N
112,10,1,8,R,-1,-1,P,NADO,1.600000024,2.599999905,2.599999905,0.600000024,0.600000024,1,-1,28,-1,-1,3,0,0,N
113,10,1,9,R,-1,-1,P,NADO,1.799999952,3,3,0.800000012,0.899999976,2,-1,18,-1,-1,3,0,0,N
114,10,1,10,R,-1,-1,P,NADO,1.700000048,2.799999952,2.799999952,0.800000012,0.800000012,3,-1,23,-1,-1,3,0,0,N
115,10,1,11,R,-1,-1,P,DE9,1.799999952,3,3,1.5,1.5,3,-1,18,-1,-1,3,0,0,N
116,10,1,12,R,-1,-1,P,DE9,1.799999952,3.299999952,3.299999952,1.700000048,1.5,3,-1,23,-1,-1,3,0,0,N
117,11,1,1,P,-1,-1,P,COFL,0.600000024,2.099999905,2.099999905,1,1,3,-1,28,-1,-1,3,0,0,S
118,11,1,2,P,-1,-1,P,COFL,0.800000012,2.200000048,2.200000048,1.200000048,1.200000048,3,-1,23,-1,-1,3,0,0,S
119,11,1,3,P,-1,-1,P,COFL,0.600000024,2.099999905,2.099999905,1.200000048,1,3,-1,38,-1,-1,3,0,0,S
120,11,1,4,P,-1,-1,P,COFL,0.800000012,2.099999905,2.099999905,1,1,3,-1,28,-1,-1,3,0,0,S
121,11,1,5,P,-1,-1,P,COFL,0.5,2.299999952,2.299999952,1.700000048,1.5,4,-1,13,-1,-1,3,0,0,S
122,11,1,6,P,-1,-1,P,COFL,1,2.299999952,2.299999952,1.5,1.799999952,3,-1,13,-1,-1,3,0,0,S
123,13,1,1,E,-1,-1,P,OSFR,1,3,3,1.299999952,1.299999952,2,-1,33,-1,-1,3,0,48,N
