Plot_ID,Plant_ID,Tree_shrub,Species_LT,Stem,Area,Pla_spo,Pot,Pub_pri,Street
006,T01,tree,Styphnolobium japonicum,1,0,planted,non-pot,public,street
006,T02,tree,Cercidiphyllum japonicum,1,0,planted,non-pot,public,non_street
006,T03,tree,Fraxinus griffithii,1,0,planted,non-pot,public,non_street
006,T04,tree,Fraxinus griffithii,1,0,planted,non-pot,public,non_street
006,T05,tree,Fraxinus griffithii,1,0,planted,non-pot,public,non_street
006,T06,tree,Quercus myrsinifolia,1,0,planted,non-pot,public,non_street
006,T07,tree,Styrax japonicus,1,0,planted,non-pot,public,non_street
006,T08,tree,Fraxinus griffithii,1,0,planted,non-pot,public,non_street
015,T01,tree,Cinnamomum camphora,1,0,spontaneous,non-pot,private,non_street
015,T02,tree,Chamaecyparis obtusa,1,0,planted,non-pot,private,non_street
015,T03,tree,Chamaecyparis obtusa,1,0,planted,non-pot,private,non_street
015,T04,tree,Chamaecyparis obtusa,1,0,planted,non-pot,private,non_street
015,T05,tree,Chamaecyparis obtusa,1,0,planted,non-pot,private,non_street
015,T06,tree,Chamaecyparis obtusa,1,0,planted,non-pot,private,non_street
015,T07,tree,Ligustrum japonicum,1,0,planted,non-pot,private,non_street
015,T08,tree,Camellia japonica,1,0,planted,non-pot,private,non_street
015,T09,tree,Camellia japonica,1,0,planted,non-pot,private,non_street
015,T10,tree,Camellia japonica,1,0,planted,non-pot,private,non_street
015,T11,tree,Chamaecyparis obtusa,1,0,planted,non-pot,private,non_street
015,T12,tree,Chamaecyparis obtusa,1,0,planted,non-pot,private,non_street
015,T13,tree,Camellia japonica,1,0,planted,non-pot,private,non_street
015,T14,tree,Cinnamomum camphora,1,0,planted,non-pot,private,non_street
015,T15,tree,Camellia sasanqua,1,0,planted,non-pot,private,non_street
015,T16,tree,Camellia sasanqua,1,0,planted,non-pot,private,non_street
015,T17,tree,Cinnamomum camphora,1,0,planted,non-pot,private,non_street
015,T18,tree,Cryptomeria japonica,1,0,planted,non-pot,private,non_street
015,T19,tree,Pieris japonica,1,0,planted,non-pot,private,non_street
