Species_LT,Nt_ex,Genus,Family
Acer buergerianum,exotic,Acer,Sapindaceae
Albizia julibrissin,exotic,Albizia,Leguminosae
Boehmeria nivea,exotic,Boehmeria,Urticaceae
Cinnamomum camphora,exotic,Cinnamomum,Lauraceae
Hibiscus syriacus,exotic,Hibiscus,Malvaceae
Hypericum patulum,exotic,Hypericum,Hypericaceae
Mentha canadensis,exotic,Mentha,Lamiaceae
Trachycarpus fortunei,exotic,Trachycarpus,Arecaceae
Abies firma,native,Abies,Pinaceae
Acer japonicum,native,Acer,Sapindaceae
Acer palmatum,native,Acer,Sapindaceae
Acer pictum,native,Acer,Sapindaceae
Aesculus turbinata,native,Aesculus,Sapindaceae
Akebia quinata,native,Akebia,Lardizabalaceae
Aphananthe aspera,native,Aphananthe,Cannabaceae
Ardisia crenata,native,Ardisia,Primulaceae
Aucuba japonica,native,Aucuba,Garryaceae
Broussonetia papyrifera,native,Broussonetia,Moraceae
Buxus microphylla,native,Buxus,Buxaceae
Callicarpa dichotoma,native,Callicarpa,Lamiaceae
Callicarpa japonica,native,Callicarpa,Lamiaceae
Camellia japonica,native,Camellia,Theaceae
Camellia sasanqua,native,Camellia,Theaceae
Camellia sinensis,native,Camellia,Theaceae
Castanea crenata,native,Castanea,Fagaceae
Celtis sinensis,native,Celtis,Cannabaceae
Cerasus jamasakura,native,Cerasus,Rosaceae
Cercidiphyllum japonicum,native,Cercidiphyllum,Cercidiphyllaceae
Chamaecyparis obtusa,native,Chamaecyparis,Cupressaceae
Chamaecyparis pisifera,native,Chamaecyparis,Cupressaceae
Cleyera japonica,native,Cleyera,Pentaphylacaceae
Cornus kousa,native,Cornus,Cornaceae
Corylopsis pauciflora,native,Corylopsis,Hamamelidaceae
Cryptomeria japonica,native,Cryptomeria,Cupressaceae
Daphniphyllum macropodum,native,Daphniphyllum,Daphniphyllaceae
Dendropanax trifidus,native,Dendropanax,Araliaceae
Deutzia scabra,native,Deutzia,Hydrangeaceae
Diospyros kaki,native,Diospyros,Ebenaceae
Distylium racemosum,native,Distylium,Hamamelidaceae
Elaeagnus macrophylla,native,Elaeagnus,Elaeagnaceae
Elaeagnus multiflora,native,Elaeagnus,Elaeagnaceae
